Country,Year,Exchange Rate,Inflation (%)
Ethiopia,1993,5.0,3.54306596166032
Ethiopia,1994,5.465,7.59387600185337
Ethiopia,1995,6.15833333333333,10.0221733553239
Ethiopia,1996,6.351675,-8.48424868948825
Ethiopia,1997,6.70934166666667,2.39520958083829
Ethiopia,1998,7.11590833333334,0.894801693964107
Ethiopia,1999,7.94225,7.94144864137325
Ethiopia,2000,8.21725833333333,0.662458109266482
Ethiopia,2001,8.45749166666667,-8.23784453391137
Ethiopia,2002,8.56775,0.675089102170801
Ethiopia,2003,8.59968333333333,13.6740452028272
Ethiopia,2004,8.63558333333333,3.32737047894847
Ethiopia,2005,8.66644166666667,9.96997123512892
Ethiopia,2006,8.69861583333333,12.2994763114825
Ethiopia,2007,8.96595,17.2404008340898
Ethiopia,2008,9.59974166666667,44.3566858766952
Ethiopia,2009,11.7775996725,8.48364404530282
Ethiopia,2010,14.4095898080066,8.14926402965082
Ethiopia,2011,16.8992257595275,33.2499598823344
Ethiopia,2012,17.7047613782674,23.600417677317
Ethiopia,2013,18.6266289575478,7.46402192944517
Ethiopia,2014,19.585789907695,6.89001951597192
Ethiopia,2015,20.57684875,9.56889955968623
Ethiopia,2016,21.7315472222222,6.62813337230924
Ethiopia,2017,23.8661044574125,10.6871150284238
Ethiopia,2018,27.4293865941667,13.8330356586661
Ethiopia,2019,29.06975,15.8096321719344
Ethiopia,2020,34.9271654040404,20.3563468559061
Ethiopia,2021,43.73377831884,26.8395221557722
Ethiopia,2022,51.7562150334169,33.8898797100898
Ethiopia,2023,54.6009480676569,30.2188278135278
Ethiopia,2024,82.6013363504764,21.0377460577711
India,1960,4.7619000037619,1.77987784677382
India,1961,4.7619000037619,1.69521293914433
India,1962,4.7619000037619,3.63221497106987
India,1963,4.7619000037619,2.94616135685229
India,1964,4.7619000037619,13.3552611508153
India,1965,4.7619000037619,9.47475859170699
India,1966,6.35912500535913,10.8018483489342
India,1967,7.5000000065,13.062202477797
India,1968,7.5000000065,3.23741242627502
India,1969,7.5000000065,-0.584136610466349
India,1970,7.5000000065,5.09226161997552
India,1971,7.49193523096824,3.07993868406537
India,1972,7.59446837394936,6.44209746158243
India,1973,7.74203856214968,16.9408159791736
India,1974,8.1016032272183,28.598734077509
India,1975,8.37589194565386,5.74843029767437
India,1976,8.96041272812392,-7.63394763392882
India,1977,8.73857617131458,8.30747009171166
India,1978,8.19284034840393,2.5230487569518
India,1979,8.12579094635689,6.27568336762335
India,1980,7.86294470113798,11.3460734795095
India,1981,8.65852281709317,13.112546897642
India,1982,9.45513193348639,7.89074279377487
India,1983,10.0988982440461,11.8680812986734
India,1984,11.3625833326667,8.3189071186008
India,1985,12.3687499995833,5.55642423236554
India,1986,12.61083333325,8.72972072702581
India,1987,12.9615,8.80112581251833
India,1988,13.9170833333333,9.38347186185335
India,1989,16.2255,7.07428002942301
India,1990,17.5035,8.9712325027325
India,1991,22.7424333333333,13.8702461773683
India,1992,25.9180833333333,11.7878170418134
India,1993,30.4932916666667,6.32689048779867
India,1994,31.3737425,10.2479355556119
India,1995,32.4270766666667,10.2248861637544
India,1996,35.4331733333333,8.97715233826453
India,1997,36.3132858333333,7.16425211462724
India,1998,41.259365,13.2308389767977
India,1999,43.0554283333334,4.66982038037594
India,2000,44.941605,4.0094359104519
India,2001,47.1864141666667,3.77929312235637
India,2002,48.6103191666667,4.29715203929563
India,2003,46.5832841666667,3.80585899528851
India,2004,45.3164666666666,3.76725173477515
India,2005,44.099975,4.24634362031922
India,2006,45.3070083333333,5.79652337561634
India,2007,41.3485333333333,6.37288135593231
India,2008,43.5051833333333,8.34926704907581
India,2009,48.4052666666666,10.8823529411764
India,2010,45.7258121212121,11.9893899204244
India,2011,46.6704666666667,8.91179336483371
India,2012,53.4372333333333,9.47899691419801
India,2013,58.5978454166667,10.0178784746102
India,2014,61.0295144607843,6.66565671867899
India,2015,64.1519444632786,4.90697344127256
India,2016,67.1953128073894,4.94821634062141
India,2017,65.1215686450659,3.32817337461298
India,2018,68.3894670935422,3.9388264669163
India,2019,70.4203405359551,3.72950573539129
India,2020,74.0995668836052,6.62343677628535
India,2021,73.9180128154351,5.13140747176369
India,2022,78.6044905829916,6.69903414079852
India,2023,82.5992764460784,5.64914318907925
India,2024,83.669281580941,4.95303550973656
Japan,1960,360.000000359,3.5745115253591
Japan,1961,360.000000359,5.36846178480055
Japan,1962,360.000000359,6.8354403481973
Japan,1963,360.000000359,6.7069055639799
Japan,1964,360.000000359,3.80038945305753
Japan,1965,360.000000359,6.65599094260621
Japan,1966,360.000000359,5.04083205887676
Japan,1967,360.000000359,3.98984808881518
Japan,1968,360.000000359,5.33943295739344
Japan,1969,360.000000359,5.24982091102027
Japan,1970,360.000000359,6.92417383485781
Japan,1971,350.677693533362,6.39534883720926
